Time,pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10,pt11
415.0,5.343707060397379e-07,4.3694653346217653e-10,0.0,9.189164068580265e-07,4.1345258862744366e-10,0.0,1.8434943083692163e-06,9.691658306531449e-07,0.0,2.691778355030321e-06,9.691939302801165e-07,0.0
419.0,5.330517405352488e-07,4.35853881636359e-10,0.0,9.167453217544992e-07,4.124097198989571e-10,0.0,1.8390022894093209e-06,9.668523217015508e-07,0.0,2.6854106314144933e-06,9.668802858288204e-07,0.0
419.5,5.3176288038243e-07,4.3477915288199224e-10,0.0,9.145992431462682e-07,4.1138771474861425e-10,0.0,1.8345988612732333e-06,9.645724572628089e-07,0.0,2.6791197979877175e-06,9.646003279192119e-07,0.0
419.75,5.317056793572391e-07,4.3447532815665966e-10,0.0,9.13407195586718e-07,4.111515122386163e-10,0.0,1.8338899185917556e-06,9.637325631682955e-07,0.0,2.675915943095942e-06,9.637581114944798e-07,0.0
420.0,5.594036845203851e-07,4.482682319195097e-10,0.0,9.27787819332438e-07,4.2575504079355186e-10,0.0,1.9134745652708667e-06,9.911924441260695e-07,0.0,2.7263157058472525e-06,9.911509919868403e-07,0.0
420.5,0.0007755251046887994,1.1908741385634479e-05,0.0,0.0009036405562154711,1.1900914206571573e-05,0.0,0.0024817296023824055,0.0011453709146850284,0.0,0.002764496194289136,0.0011453741495364266,0.0
425.0,0.000948484981438579,1.2050947055601274e-05,0.0,0.0010418532627408483,1.2045241615600503e-05,0.0,0.003012425923022584,0.001359831581316447,0.0,0.0032191700941085707,0.0013598489676340858,0.0
425.25,0.002614569107886641,1.293568751317572e-05,0.0,0.0028257488209083403,1.2922837081719828e-05,0.0,0.0081913740680119,0.0035958409270995446,0.0,0.00866635245191583,0.0035949894375986316,0.0
430.0,0.00304742222585657,1.302388514741765e-05,0.0,0.004222110108920789,1.2952746472610943e-05,0.0,0.009983453386295218,0.004807843168652648,0.0,0.01255880813798635,0.004797464300393236,0.0
440.0,0.004543454381933426,1.7032344723514862e-06,0.0,0.006305359840033931,1.6087585020561813e-06,0.0,0.01467256739579122,0.006890108714717137,0.0,0.018413575230928982,0.0066741930583478415,0.0
450.0,0.009202789219316578,8.199898451097476e-07,0.0,0.012672562507112342,4.661866907425373e-07,0.0,0.029139100959197244,0.012965349681596478,0.0,0.03845196786749488,0.015285292331095669,0.0
452.0,0.016930078157212827,1.7188905971587745e-07,0.0,0.020652808000030262,-1.803379476967963e-07,0.0,0.055983246831457785,0.026273145188180625,0.0,0.06563294050252454,0.02831649695100569,0.0
452.5,0.020559541655105346,-1.8104760480413759e-06,0.0,0.023166873084023886,-2.139834540106864e-06,0.0,0.06631787783618728,0.0295777254336308,0.0,0.07405180336007974,0.03236103292604219,0.0
452.75,0.052423680210119866,-3.702344371599038e-05,0.0,0.0560604236702431,-3.731797926067883e-05,0.0,0.16962803988664085,0.07619116606157235,0.0,0.17843526843340707,0.07736718710184877,0.0
453.0,0.05134096974209195,-1.257619635634037e-05,0.0,0.051667043371506266,-1.25142803079216e-05,0.0,0.16443642183254834,0.07243373730751168,0.0,0.16420346032679242,0.07110097741453111,0.0
453.25,0.03922467847649737,-4.94657561456355e-06,0.0,0.04192834504619058,-5.280263073591489e-06,0.0,0.125885568999041,0.05577039670925346,0.0,0.13378931160224825,0.0585265108554763,0.0
453.5,0.04868482186132938,-8.424157080396998e-06,0.0,0.049459914479900786,-8.565070141680074e-06,0.0,0.15534753148433228,0.06793800347102043,0.0,0.15813193360950512,0.06947008257917442,0.0
453.75,0.05454345392497761,-8.87979532098483e-06,0.0,0.05271401809018095,-8.52094722881592e-06,0.0,0.17475707923877878,0.07720697679882482,0.0,0.16788029482334751,0.07316277818096188,0.0
454.0,0.053911478358715466,-8.79310165793412e-06,0.0,0.05286467126150072,-8.592249171097346e-06,0.0,0.1724994196556671,0.07596887559186169,0.0,0.1686057118470075,0.07373066718587393,0.0
455.0,0.05280319136745158,-8.419694395115386e-06,0.0,0.0521158653424263,-8.349174007750958e-06,0.0,0.16841750767594785,0.0736551726927498,0.0,0.1665744635031277,0.07318786483374508,0.0
460.0,0.051593368236432346,-7.644914466106161e-06,0.0,0.051066815111198365,-7.548950843615901e-06,0.0,0.16484906738472707,0.07239425260832036,0.0,0.1629545416826584,0.07134925830455942,0.0
470.0,0.05563830740409077,-8.547063251138418e-06,0.0,0.05598552924563013,-8.562068028105666e-06,0.0,0.17763089466024684,0.0779020203921945,0.0,0.17833029326937735,0.07779953577146052,0.0
480.0,0.054745403680306455,-8.403000702332985e-06,0.0,0.05500176238930581,-8.405097516445131e-06,0.0,0.175420716340126,0.07754087978577971,0.0,0.17581884248637886,0.077319153901322,0.0
500.0,0.054638547839434816,-8.481972329863574e-06,0.0,0.052893024931552776,-8.214852215521388e-06,0.0,0.17453051238344164,0.07661498414487881,0.0,0.16884019760618824,0.07398773253542539,0.0
550.0,0.05622098512028398,-8.655258380967876e-06,0.0,0.055880889163523004,-8.574437373651673e-06,0.0,0.17997851315140725,0.07940550727800064,0.0,0.17853160971745632,0.078422580741424,0.0
600.0,0.05239422273265312,-7.732626189203187e-06,0.0,0.05242014777291839,-7.705851480148877e-06,0.0,0.16761783360579838,0.07383330294445493,0.0,0.16735061242506158,0.0733679280236736,0.0
650.0,0.05559805540106625,-8.575452348824891e-06,0.0,0.054370565487448355,-8.384914971483288e-06,0.0,0.17740409090587694,0.07770361287620356,0.0,0.17337404517012406,0.07581177510546219,0.0
713.0,0.0546284651487501,-8.253624658062291e-06,0.0,0.05497571389768066,-8.284288799085794e-06,0.0,0.17466677883801426,0.07685108023209505,0.0,0.17554112964012059,0.07700536342419961,0.0
750.0,0.05230500653696131,-7.639848799140694e-06,0.0,0.05309075656270115,-7.722539879449255e-06,0.0,0.16729763924406807,0.07365888076810537,0.0,0.1694249795875278,0.0742269111448245,0.0
800.0,0.05352725740015998,-8.11303393732582e-06,0.0,0.054411898122196094,-8.218489844330535e-06,0.0,0.1714011426477069,0.07565337350362077,0.0,0.17393685183982263,0.07649503310654183,0.0
