Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz,pt4_sigxx,pt4_sigyy,pt4_sigzz,pt4_sigxy,pt4_sigyz,pt4_sigxz
0.0,-5500000.0000000065,-6500000.000000009,-2800000.000000003,0.0,0.0,0.0,-5500000.000000002,-6500000.000000002,-2800000.0000000014,0.0,0.0,0.0,-5500000.000000006,-6500000.000000007,-2800000.0000000037,0.0,0.0,0.0,-6000000.000000007,-7000000.000000007,-3300000.000000003,0.0,0.0,0.0,-6000000.000000006,-7000000.000000014,-3300000.000000005,0.0,0.0,0.0
0.05,-5500000.000000008,-6500000.000000009,-2800000.000000001,0.0,0.0,0.0,-5500000.000000004,-6500000.000000002,-2799999.999999999,0.0,0.0,0.0,-5500000.000000007,-6500000.000000007,-2800000.0000000014,0.0,0.0,0.0,-6000000.000000007,-7000000.0000000065,-3300000.000000002,0.0,0.0,0.0,-6000000.000000006,-7000000.000000012,-3300000.0000000037,0.0,0.0,0.0
0.1,-5500000.000000013,-6500000.000000009,-2800000.0,0.0,0.0,0.0,-5500000.000000007,-6500000.0,-2799999.9999999986,0.0,0.0,0.0,-5500000.000000012,-6500000.000000007,-2800000.0000000005,0.0,0.0,0.0,-6000000.000000007,-7000000.0000000065,-3300000.000000002,0.0,0.0,0.0,-6000000.000000007,-7000000.000000008,-3300000.000000004,0.0,0.0,0.0
0.2,-5400237.170371077,-6511320.5534706935,-2843325.2820210066,-66275.49462331521,0.015799835883383545,0.019823384245304165,-5500008.4177928455,-6500000.7186822705,-2799994.676576648,4.58897355449684,-0.009180531899297517,0.03622546262646298,-5499997.768650848,-6499997.646156662,-2800003.2945648003,0.01097748354355563,-7.457406812199616e-05,-7.568744614853533e-05,-5999997.903613209,-7000002.449188543,-3299998.7179455645,-2.259587135915845,0.00017548672960549208,-9.478387189226661e-05,-5999997.842824417,-7000002.466731198,-3299998.700711608,-2.2467735111528726,9.16843680307576e-05,-9.823891818486103e-05
5.0,-5349116.773481189,-6518930.718091114,-2866148.7923168484,-101188.85211069297,0.042382010568130304,-0.03259414375922977,-5500056.561916735,-6499999.305544189,-2799969.015550137,34.184074995341675,-0.05545634415696821,0.24079233764874086,-5499989.765379601,-6499989.209053977,-2800015.1431919853,0.03520041951533878,0.0001361276520209296,-0.00019333482135972836,-5999990.615335133,-7000011.016315196,-3299994.2817162685,-10.056678760917482,0.0007862673946997403,-0.0004274344335113264,-5999990.3440831555,-7000011.093710136,-3299994.2043286683,-9.9968360310216,0.00040588047088283377,-0.0004396020546105392
10.0,-5348912.027387818,-6518958.117975593,-2866239.7356994827,-101326.97002459959,0.042230009531427345,-0.032551605674684785,-5500053.852911454,-6499999.954201993,-2799970.0966594727,32.17725066447697,-0.05396941295183222,0.23455168074873,-5499989.646367444,-6499989.089271583,-2800015.2789387084,0.03010901668630942,0.00112287528533818,0.0003613919596201417,-5999990.532220671,-7000011.115455005,-3299994.231580565,-10.144100359131947,0.0007932939518719373,-0.0004313239628506808,-5999990.258603286,-7000011.193492786,-3299994.153507246,-10.083651005197122,0.0004093624788491026,-0.00044350083185831763
15.0,-5348825.277292701,-6518968.440283939,-2866278.0717242067,-101384.76940230699,0.042017172098874254,-0.03239033895680658,-5500051.0865596915,-6500000.596709264,-2799971.217318469,30.140125047918488,-0.052423539022617316,0.2279111830649665,-5499989.569949535,-6499988.996568861,-2800015.3778798836,0.035286818270471254,0.0017318981395154113,0.0007301622030890781,-5999990.469716325,-7000011.190290717,-3299994.1939665,-10.209552357566773,0.0007985898121159557,-0.00043426735893441627,-5999990.194325924,-7000011.268805149,-3299994.1153770993,-10.148633610006405,0.0004119608887411816,-0.0004464335994613017
20.0,-5348749.214312202,-6518977.349399925,-2866311.664979642,-101435.37299118274,0.04180243469210708,-0.03222427696295208,-5500048.3741247775,-6500001.228014051,-2799972.318151547,28.1420895296086,-0.05091845984208643,0.2213378979026306,-5499989.51351792,-6499988.9113285355,-2800015.467464743,0.048412834467720794,0.0020561013118930663,0.0009490490222241508,-5999990.411425679,-7000011.2601083405,-3299994.1588979294,-10.270562797416957,0.000803531161723227,-0.0004370142498248684,-5999990.134381498,-7000011.339067501,-3299994.0798267634,-10.209205451036057,0.0004143820409508814,-0.00044916876082816697
22.5,-5348712.528441043,-6518981.642254355,-2866327.8667304222,-101459.77824049591,0.041695274096703275,-0.03214136181902637,-5500047.032595375,-6500001.54077743,-2799972.862879841,27.153611620890683,-0.0501767849267325,0.21807353123402695,-5499989.489510569,-6499988.870220209,-2800015.510392136,0.05669178162468587,0.0021577975470393257,0.0010256203901438021,-5999990.383091893,-7000011.294047762,-3299994.1418531425,-10.300215472100263,0.0008059319013770263,-0.00043834960384658015,-5999990.105243681,-7000011.373223244,-3299994.0625476893,-10.238644908270269,0.0004155585081362793,-0.0004504984914216664
22.75,-5204774.950761924,-6536229.92273191,-2929139.9849246875,-197564.23256304968,0.0726182275588993,-0.03215407349490451,-5500079.76592164,-6500001.595219005,-2799954.526733331,46.659806335809606,-0.08279632470693166,0.355486464646825,-5499983.2507695565,-6499982.278744421,-2800024.7636210485,0.08840559871507152,0.0015746833308252154,0.0005837995035227546,-5999984.596837598,-7000018.075347933,-3299990.612099159,-16.512763252155807,0.001290453293358555,-0.0007012074633074175,-5999984.1515685925,-7000018.20245927,-3299990.485127645,-16.41480116939225,0.0006666984114550057,-0.0007215466721061896
