Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz
23.0,-5073153.59918559,-6542764.966744936,-2991555.925989477,-282263.3521897718,-145.16842656570708,-1095.9691367012026,-6002399.931391662,-7044223.673228951,-3306783.300905628,18485.946686311123,-115.28641952667742,200.66269328656037,-6001536.5630618585,-7042979.395024557,-3307021.5695280726,17426.97422931991,-10.421884818799837,19.943840218208486,-5500052.605690976,-6499981.085233609,-2799987.7376026884,43.406314121253,0.8583589026910549,1.189559832613862
23.25,-4916574.573995029,-6561684.113514005,-3060225.35197293,-386565.9216762959,-79.0236577443705,-1175.3832312887453,-6016162.119332017,-7074491.396448554,-3314683.3883333914,40904.64487562468,-122.33824806044233,178.0444228426603,-6016013.804686591,-7073983.802190869,-3314914.5017642477,40343.879280964604,-8.387581124983479,22.77036530490284,-5500056.064650343,-6499975.272177059,-2799990.7576734913,48.3682737583298,1.1714287940433294,1.3123731402558514
23.5,-4742910.865165405,-6583349.678292095,-3136276.160737223,-502612.5012972306,46.23564212095107,-1042.9960384400124,-6062394.331620475,-7105145.267313383,-3331816.3730172394,66610.8832082616,-117.20548878886646,91.3555066035272,-6062794.536693421,-7104917.670932684,-3331403.5607008855,65772.73671338528,-15.49985160500923,34.797359125497,-5500053.099583245,-6499965.459588687,-2800000.5470473226,50.80366856842374,1.9210016583255627,1.4590414837582657
25.0,-4673467.623108013,-6595304.508285522,-3165630.3297317396,-550834.9144854891,-16.53646355941703,-329.99281345314876,-6117629.14951027,-7105775.453830633,-3354348.239327429,53934.52401734428,-88.37695282830515,133.06061595814208,-6116686.82215162,-7105227.886398394,-3354641.344640875,52628.76801683762,-21.3064771659746,31.396748220006394,-5500248.162910224,-6499881.548936213,-2799964.819451112,198.14483444057183,8.927859460395561,3.373339940136971
40.0,-4569089.261845349,-6611398.691381688,-3210059.065141238,-622054.3913104602,-92.24309226057161,-175.77411501393868,-6080175.294241098,-7071526.242751024,-3345378.212937151,28584.766126187336,-43.17478746026569,56.85523980685949,-6079814.732453746,-7071255.820399712,-3345371.9160382166,27999.188502895922,-7.034626776670932,11.594078603822187,-5132180.925267063,-6545813.402236958,-2961183.606450306,-246574.40041919614,-39.685750869133344,83.76575081403631
50.0,-4554541.648749106,-6613612.386028601,-3216216.5729921428,-631965.7074130039,-82.84204965577601,-177.54022563267023,-6071761.671381444,-7064533.587859679,-3341125.986712971,25473.291583413713,-38.89372424361062,50.5680593479683,-6071470.142325254,-7064286.12388558,-3341114.648385964,24958.907642103095,-6.151396855534763,10.280378582547945,-5018502.471433907,-6560111.933840941,-3010857.6472657486,-322775.98032912274,-18.042938757775833,58.42915192147236
60.0,-4546136.669515418,-6614886.098785399,-3219772.1575271934,-637692.207600991,-77.58157444122978,-176.46348090250154,-6066717.443906859,-7060318.811304193,-3338430.6480024485,23722.99526992887,-36.548226998963315,47.21940344897819,-6066459.813259769,-7060085.948091499,-3338415.5632393886,23246.430574330076,-5.69669322230984,9.589727535925826,-4963883.419650301,-6566956.375529596,-3034733.9253309486,-359387.7245285851,-13.806989691032001,42.576103563043
75.0,-4537885.096527016,-6616137.877431145,-3223259.7318608062,-643318.0973974969,-73.08476918917646,-172.66244295430437,-6061786.10080863,-7056141.432487935,-3335719.37157268,22043.66108232455,-34.26821689338438,44.02939086407356,-6061558.79769118,-7055921.656647561,-3335704.508242273,21600.96907571943,-5.269284752743275,8.928460886976634,-4915592.244726174,-6572996.809104584,-3055847.4785301946,-391762.24904410494,-10.335708166231958,31.153068771377335
90.0,-4532355.147755228,-6616978.08076099,-3225594.6233847393,-647091.2915762664,-70.15120268033272,-169.16528089522666,-6058497.834779177,-7053319.9948851485,-3333862.280245756,20939.96513525195,-32.747539066954744,41.930631093744154,-6058291.520088096,-7053108.890812512,-3333848.6348087327,20519.151226810543,-4.992271673363113,8.493410820052386,-4885575.225201602,-6576747.188908506,-3068971.6353977094,-411888.501188057,-8.483404356754654,25.63239955763868
99.5,-4529672.929282251,-6617386.1808959795,-3226726.3017483596,-648922.258996747,-68.7065362301808,-167.2791252058385,-6056910.325465329,-7051945.603041838,-3332950.367325958,20411.202946163547,-32.01040143821899,40.91926884960914,-6056714.601032068,-7051738.980248992,-3332937.525225983,20000.80665311997,-4.8603002648351445,8.284452522672563,-4871549.429664686,-6578498.782255177,-3075103.870470868,-421293.2373529105,-7.713298821268278,23.408378239780436
