Time,pt0_ux,pt0_uy,pt0_uz,pt1_ux,pt1_uy,pt1_uz,pt2_ux,pt2_uy,pt2_uz,pt3_ux,pt3_uy,pt3_uz,pt4_ux,pt4_uy,pt4_uz,pt5_ux,pt5_uy,pt5_uz,pt6_ux,pt6_uy,pt6_uz,pt7_ux,pt7_uy,pt7_uz,pt8_ux,pt8_uy,pt8_uz,pt9_ux,pt9_uy,pt9_uz,pt10_ux,pt10_uy,pt10_uz
23.0,4.0724244489464595e-07,-1.0587780883978111e-07,0.0,-2.6177457091757856e-06,1.826321826164603e-06,0.0,2.5823092534753628e-06,-1.784591827557837e-06,0.0,9.059093713964298e-09,1.8422862796326178e-08,0.0,-5.695429535597316e-06,2.63504121585746e-06,0.0,5.516404141974594e-06,-2.5921754163684586e-06,0.0,3.6144593518543534e-09,1.7835263950562914e-08,0.0,1.1167235717035003e-08,1.4494060595495418e-08,0.0,6.956422830453543e-08,-2.2762446887878883e-08,1.7768963041192956e-08,-9.596230905565374e-08,6.089547169763683e-08,1.3350678777394085e-08,1.00439532279862e-07,-4.374496852541305e-08,1.5423810469801406e-08
23.25,5.807488759247573e-07,-1.8922902128372174e-07,0.0,-4.410799964484937e-06,3.0902648325445518e-06,0.0,4.402693494980025e-06,-3.0584718000374518e-06,0.0,1.27229078494148e-08,2.62882555031319e-08,0.0,-8.943126840135158e-06,4.14815187503382e-06,0.0,8.689989705771607e-06,-4.0737960120389815e-06,0.0,4.859481944571075e-09,2.5642699325817252e-08,0.0,1.632138513439882e-08,2.047902916197317e-08,0.0,1.2571909896837336e-07,-4.103088237182244e-08,2.3367892064013516e-08,-1.8832413813108437e-07,1.1720225287407144e-07,1.5553807648478094e-08,1.947502770637235e-07,-8.518725781573577e-08,1.9648998348767105e-08
23.5,5.223122650037017e-07,-1.9002383021011322e-07,0.0,-7.679897817194657e-06,4.911451583895613e-06,0.0,7.644486166253588e-06,-4.862480452333832e-06,0.0,1.9597320359335483e-08,4.0756537196853124e-08,0.0,-1.295489564020256e-05,6.003801689258558e-06,0.0,1.2625587883884763e-05,-5.928347679111484e-06,0.0,6.892855493588981e-09,4.0113316936455755e-08,0.0,2.6062137971694028e-08,3.1271083593721186e-08,0.0,1.8553957155377342e-07,-5.9013265017967874e-08,3.650900292266258e-08,-3.020376756663798e-07,1.872873654294907e-07,2.415893172819917e-08,3.132683731152459e-07,-1.3780279115345001e-07,3.1189637734166485e-08
25.0,4.524555999558648e-08,2.0717384804091275e-08,0.0,-1.3531380991735918e-05,7.021792707940058e-06,0.0,1.346077703190456e-05,-6.9526212565560375e-06,0.0,5.5284070098861725e-08,1.1987735146253516e-07,0.0,-1.6671826385623387e-05,7.743141241406119e-06,0.0,1.640663126822216e-05,-7.680150420315136e-06,0.0,1.2828630355887072e-08,1.154648520881218e-07,0.0,7.788721402346886e-08,8.553865684187914e-08,0.0,8.985326894324337e-08,-3.0355779677681795e-08,1.3384210136688934e-07,-1.2057350084051044e-07,8.801404461054907e-08,1.2911438843836523e-07,1.4804357204216086e-07,-7.685470191770804e-08,1.3094567380094725e-07
40.0,1.1556424040550698e-07,-2.2748686298380445e-08,0.0,-2.0314773256843158e-05,9.71503229450639e-06,0.0,2.0294059984434726e-05,-9.68215355530978e-06,0.0,3.7682581186114427e-07,8.534116802239013e-07,0.0,-2.1890851848178376e-05,1.0196376601947903e-05,0.0,2.1747907933611927e-05,-1.0154562966194705e-05,0.0,-9.518574938811147e-06,4.658327235746558e-06,0.0,9.708926320129271e-06,-4.300219639310292e-06,0.0,-9.718055310781466e-09,-7.456873956749815e-10,9.543615964747829e-07,-8.881346142885922e-06,4.146698021795907e-06,1.0094741693161381e-06,8.880967070549823e-06,-4.156714126670691e-06,1.0247353853986582e-06
50.0,1.1245039073211277e-07,-2.4066143768115097e-08,0.0,-2.1180427296492694e-05,1.0086886110140165e-05,0.0,2.1162574235696843e-05,-1.0057166578790899e-05,0.0,3.6494835503830014e-07,8.100409972944384e-07,0.0,-2.2591813141765612e-05,1.052496750579187e-05,0.0,2.2463745345174254e-05,-1.0486588098850194e-05,0.0,-1.250643729263261e-05,6.239421771570008e-06,0.0,1.2838285121592848e-05,-5.573336356477717e-06,0.0,-4.5011711043235424e-08,2.0361756996046126e-08,9.238643107129551e-07,-1.2188395739480154e-05,5.6908924565174335e-06,9.644724223383799e-07,1.2199769192601348e-05,-5.697385717570375e-06,9.677567115144527e-07
60.0,1.170733903071789e-07,-2.7436996305329002e-08,0.0,-2.167080333249038e-05,1.0301236042009338e-05,0.0,2.1653618374020752e-05,-1.0272440372152541e-05,0.0,3.480054237454704e-07,7.543782889158957e-07,0.0,-2.2992338080141254e-05,1.0712904562033668e-05,0.0,2.2873017530182e-05,-1.0676460667583689e-05,0.0,-1.3979651788488395e-05,6.969028003249858e-06,0.0,1.4345285737916544e-05,-6.2349238170410935e-06,0.0,-5.3506710961056967e-08,2.4784611285802355e-08,8.545910673929929e-07,-1.3820602330334169e-05,6.449878273563346e-06,8.895158121148155e-07,1.3825147554201978e-05,-6.452205698517622e-06,8.839624030957583e-07
75.0,1.202692103077756e-07,-2.9724351469751888e-08,0.0,-2.2148864332778434e-05,1.051239366774503e-05,0.0,2.213280624616738e-05,-1.0483884842886422e-05,0.0,3.2950911121903763e-07,6.899399591321739e-07,0.0,-2.3384234450786562e-05,1.0897237491648383e-05,0.0,2.327355369465378e-05,-1.0861963861347032e-05,0.0,-1.5297088775707024e-05,7.592258394771996e-06,0.0,1.5672848895309852e-05,-6.846185398279457e-06,0.0,-4.824508385088951e-08,2.3208101922012344e-08,7.801070601661065e-07,-1.5221069947235877e-05,7.102710100955752e-06,8.098421977794576e-07,1.5225271009379415e-05,-7.103222665729902e-06,8.02250781259849e-07
90.0,1.2342604043560808e-07,-3.1632508326449494e-08,0.0,-2.2468105882778933e-05,1.065442973460996e-05,0.0,2.245267004420323e-05,-1.0625924145105814e-05,0.0,3.1832112828256656e-07,6.416001813719087e-07,0.0,-2.3646490754581548e-05,1.1020680352071646e-05,0.0,2.3541455283583387e-05,-1.0986017141160832e-05,0.0,-1.612132148677519e-05,7.968375914253704e-06,0.0,1.649561423684592e-05,-7.238799710184316e-06,0.0,-4.1877516272759396e-08,2.1308522358729768e-08,7.259040359636294e-07,-1.6086619872557836e-05,7.5071291413903715e-06,7.527085406103552e-07,1.609239473908701e-05,-7.506274564170955e-06,7.444767557063956e-07
99.5,1.2546975558654857e-07,-3.278953968751905e-08,0.0,-2.2622834481892188e-05,1.0723541433303076e-05,0.0,2.2607597527239922e-05,-1.0694996808701743e-05,0.0,3.127188834442858e-07,6.169176759526042e-07,0.0,-2.3773676777548436e-05,1.1080532778304993e-05,0.0,2.367130602646664e-05,-1.1046151219002041e-05,0.0,-1.6507407462778243e-05,8.140908444585656e-06,0.0,1.687946863244676e-05,-7.425599665318766e-06,0.0,-3.695697731477691e-08,1.9452630773615367e-08,6.979097233830522e-07,-1.648787267523178e-05,7.694617693536097e-06,7.233896655662058e-07,1.6494233006053666e-05,-7.693159330262883e-06,7.150983848207261e-07
