Time,pt0,pt1,pt2
0.0,0.5,0.5,0.5
0.05,0.5,0.5,0.5
0.1,0.5,0.5000000001471604,0.5000000001470107
0.2,0.7445999999999999,0.49999163868240465,0.5002904535386717
5.0,0.7445999999999999,0.4998949354177176,0.506511306193172
10.0,0.7445999999999999,0.4998091483433578,0.5072962383962122
15.0,0.7445999999999999,0.4997089244766579,0.5060985614833496
20.0,0.7445999999999999,0.49959957520303266,0.5041816825648103
22.5,0.7445999999999999,0.4995301417933863,0.5031543547770481
22.75,1.0382,0.49948626091518566,0.504624436675711
23.0,1.3317999999999999,0.49938123781704247,0.5085941745043467
23.25,1.6254,0.4991608745636551,0.5158745179546734
23.5,1.9189999999999998,0.49876477192495505,0.5256466792087406
25.0,1.9189999999999998,0.49575402144921704,0.5146573004713051
40.0,1.9189999999999998,1.0259636560896284,0.9737126779072265
50.0,1.9189999999999998,1.1723367438071695,1.1328929181714351
60.0,1.9189999999999998,1.2406612203201637,1.207665703156329
75.0,1.9189999999999998,1.300712995490969,1.2724038152577803
90.0,1.9189999999999998,1.337937167786196,1.3124664708509308
99.5,1.9189999999999998,1.3553171110733067,1.331030169768999
99.75,2.346,1.357500636508924,1.3331464756282627
100.0,2.7729999999999997,1.370778274534946,1.3307095054869122
100.25,3.1999999999999997,1.4176660987274194,1.3463583118272755
100.5,3.627,1.5407831987207712,1.4324975038424315
110.0,3.627,2.545264298717987,2.500413094807104
120.0,3.627,2.6546656773520625,2.6165090499611026
140.0,3.627,2.742872387432898,2.7095952083131394
150.0,3.627,2.76954394701367,2.737645943810237
156.5,3.627,2.7837005686501115,2.752508376167674
156.75,3.74375,2.7964238960379553,2.7621058205477635
157.0,3.8605,2.8245148075774162,2.786238115915504
157.25,3.9772499999999997,2.863933896271927,2.821921282135289
157.5,4.093999999999999,2.91198557914953,2.866548703648725
160.0,4.093999999999999,3.051857143360921,3.0120779981351666
170.0,4.093999999999999,3.140963184526793,3.106072283210692
180.0,4.093999999999999,3.179070879180839,3.147107207113436
190.0,4.093999999999999,3.21000968290814,3.1808585350303273
200.0,4.093999999999999,3.2366681943502504,3.2098903139495407
210.0,4.093999999999999,3.2584947376913944,3.2335502344789497
212.5,4.093999999999999,3.2629912454913796,3.238409893138751
213.0,4.3025,3.317225685771152,3.2868063511996177
213.5,4.511,3.4029456378357565,3.366876666861209
215.0,4.511,3.4834049117495294,3.4500506676448435
220.0,4.511,3.5460650388607973,3.515920798703108
230.0,4.511,3.5881450974785767,3.5608812579391245
240.0,4.511,3.6084581297025315,3.5827174226469913
250.0,4.511,3.6182697981341225,3.593262886897524
260.0,4.511,3.623321221130451,3.5986888572310187
266.5,4.511,3.625020437978109,3.600513393558194
266.75,4.63075,3.6491836172396983,3.6213270653874203
267.0,4.7505,3.6885185065726067,3.657152987453621
267.25,4.8702499999999995,3.737721534905134,3.7030907605867127
267.5,4.99,3.794185720376214,3.7565421189281034
280.0,4.99,3.973482130141797,3.94398294475286
300.0,4.99,4.001483366492024,3.9740464194222826
310.0,4.99,4.004639282137841,3.9774348218795477
315.0,4.99,4.005440847962918,3.978295285042459
316.5,4.99,4.005618250818238,3.97848571305474
316.75,5.1135,4.035085452468799,4.0044923447324905
317.0,5.237,4.080760560036397,4.046728559658911
317.25,5.3605,4.136379023434277,4.099203830868049
317.5,5.484,4.199104144668618,4.159053886090612
320.0,5.484,4.310382469349883,4.274683721240572
330.0,5.484,4.376481897491517,4.345040346333183
350.0,5.484,4.39519424817504,4.3651373138651515
360.0,5.484,4.396628952397422,4.366677385132824
375.0,5.484,4.397161527881389,4.367249012195702
380.0,5.484,4.397210544249553,4.367301620876282
390.0,5.484,4.3972528975427485,4.367347077869328
400.0,5.484,4.397265964445102,4.367361102265303
410.0,5.484,4.397269995565379,4.367365428761336
415.0,5.484,4.397270795073777,4.3673662868517615
419.0,5.484,4.397271184994769,4.367366705343045
419.5,5.484,4.3972712301226435,4.367366753777452
419.75,5.6884999999999994,4.454164905523787,4.418569251276976
420.0,5.893,4.540786663625588,4.499769569757059
420.5,6.302,4.775740174095541,4.725298701191489
425.0,6.302,5.025863944450614,4.986383752138039
425.25,6.302,5.030374523832846,4.99117084231007
430.0,6.302,5.081744533845056,5.045884461314979
440.0,6.302,5.1080155554529405,5.073870853699412
450.0,6.302,5.111491209434193,5.0775668264223555
452.0,6.302,5.1117309401728255,5.077821530230838
452.5,6.302,5.111785605553955,5.077879569439626
452.75,5.572,4.918258777737903,4.904461582302283
453.0,4.842,4.658356094511635,4.662041576222093
453.25,4.112,4.406873525355877,4.426310774423278
453.5,3.3819999999999997,4.181248317353195,4.214748965907913
453.75,3.3819999999999997,4.039149902517521,4.0732678028395926
454.0,3.3819999999999997,3.950363590612417,3.983543070313117
455.0,3.3819999999999997,3.744263629425194,3.7739625640395476
460.0,3.3819999999999997,3.3371554759599404,3.3520425043046536
470.0,3.3819999999999997,3.0548348326739565,3.0548555502920127
480.0,3.3819999999999997,2.9423666733033875,2.9354367196243323
500.0,3.3819999999999997,2.856266082072586,2.8434632979369674
550.0,3.3819999999999997,2.8085200889402295,2.792179433953938
600.0,3.3819999999999997,2.801619772195404,2.7847442023838114
650.0,3.3819999999999997,2.8004559756822416,2.7834894358684656
713.0,3.3819999999999997,2.8002388407057635,2.7832553043270676
750.0,3.3819999999999997,2.8002192074070282,2.783234133973013
800.0,3.3819999999999997,2.8002130621786665,2.7832275076799147
