Time,pt0_sigxx,pt0_sigyy,pt0_sigzz,pt0_sigxy,pt0_sigyz,pt0_sigxz,pt1_sigxx,pt1_sigyy,pt1_sigzz,pt1_sigxy,pt1_sigyz,pt1_sigxz,pt2_sigxx,pt2_sigyy,pt2_sigzz,pt2_sigxy,pt2_sigyz,pt2_sigxz,pt3_sigxx,pt3_sigyy,pt3_sigzz,pt3_sigxy,pt3_sigyz,pt3_sigxz,pt4_sigxx,pt4_sigyy,pt4_sigzz,pt4_sigxy,pt4_sigyz,pt4_sigxz,pt5_sigxx,pt5_sigyy,pt5_sigzz,pt5_sigxy,pt5_sigyz,pt5_sigxz,pt6_sigxx,pt6_sigyy,pt6_sigzz,pt6_sigxy,pt6_sigyz,pt6_sigxz,pt7_sigxx,pt7_sigyy,pt7_sigzz,pt7_sigxy,pt7_sigyz,pt7_sigxz,pt8_sigxx,pt8_sigyy,pt8_sigzz,pt8_sigxy,pt8_sigyz,pt8_sigxz,pt9_sigxx,pt9_sigyy,pt9_sigzz,pt9_sigxy,pt9_sigyz,pt9_sigxz,pt10_sigxx,pt10_sigyy,pt10_sigzz,pt10_sigxy,pt10_sigyz,pt10_sigxz
23.0,-5073153.59918559,-6542764.966744936,-2991555.925989477,-282263.3521897718,-145.16842656570708,-1095.9691367012026,-6002399.931391662,-7044223.673228951,-3306783.300905628,18485.946686311123,-115.28641952667742,200.66269328656037,-6001536.5630618585,-7042979.395024557,-3307021.5695280726,17426.97422931991,-10.421884818799837,19.943840218208486,-5500052.605690976,-6499981.085233609,-2799987.7376026884,43.406314121253,0.8583589026910549,1.189559832613862,-6128034.988653031,-7034948.454676214,-3331896.6797289937,51840.71592790704,-31.1703286290087,0.4119664130758167,-6118054.67831355,-7035591.686022995,-3328032.2891227743,52604.253258628414,62.83741623780897,25.581536895655873,-5999365.912768985,-6999648.874781236,-3299762.153771214,4.8212206528302675,1.0210252116361482,-0.6531903836691922,-5999530.815859995,-6999476.054929841,-3299762.438802826,-139.32232827629704,0.8103763276725869,0.010874272167381679,-5495820.542142756,-6500343.319494911,-2801877.533404569,-3218.011693045554,111.55937587103661,-232.67251135445366,-5672447.040674509,-6677251.087936328,-2978443.243533417,-3087.7301182814485,-160.3310003395911,372.81869259934183,-5696868.000951134,-6694357.087199205,-2993651.3435176043,1155.4015814855286,85.96424031418132,-223.4136412709343
23.25,-4916574.573995029,-6561684.113514005,-3060225.35197293,-386565.9216762959,-79.0236577443705,-1175.3832312887453,-6016162.119332017,-7074491.396448554,-3314683.3883333914,40904.64487562468,-122.33824806044233,178.0444228426603,-6016013.804686591,-7073983.802190869,-3314914.5017642477,40343.879280964604,-8.387581124983479,22.77036530490284,-5500056.064650343,-6499975.272177059,-2799990.7576734913,48.3682737583298,1.1714287940433294,1.3123731402558514,-6191804.311384302,-7060099.253909854,-3348351.098975362,74543.78096688441,-16.156620438766872,-23.730114033384922,-6179505.160487488,-7059382.806678101,-3342866.7521018684,75230.75613128325,71.47291188183715,18.813838863311766,-5999128.936272013,-6999504.9874456795,-3299672.0679506045,4.739720558491257,1.3253475347143995,-0.7164320852798327,-5999346.650622678,-6999278.167808076,-3299673.7826530696,-185.80150906980717,1.0679026721170353,-0.009535434260112541,-5491809.942536553,-6500631.741306377,-2803712.2564743385,-6363.720153951287,173.21960737572354,-364.7432809081382,-5668540.045733941,-6677997.124193661,-2980506.9083054313,-6118.6798982810205,-192.0795833367356,494.13356135949897,-5698533.390377146,-6694355.542461412,-2993278.9161671195,1851.3253658566525,51.29566879025666,-204.27603800515337
23.5,-4742910.865165405,-6583349.678292095,-3136276.160737223,-502612.5012972306,46.23564212095107,-1042.9960384400124,-6062394.331620475,-7105145.267313383,-3331816.3730172394,66610.8832082616,-117.20548878886646,91.3555066035272,-6062794.536693421,-7104917.670932684,-3331403.5607008855,65772.73671338528,-15.49985160500923,34.797359125497,-5500053.099583245,-6499965.459588687,-2800000.5470473226,50.80366856842374,1.9210016583255627,1.4590414837582657,-6253651.77253942,-7090185.250424062,-3365254.0393225523,91920.23947866369,12.913460602251309,-51.41322500580325,-6238719.987545501,-7089577.07534501,-3358243.527964718,93971.49970815377,72.0941046062373,4.4190086137262,-5998682.7144005755,-6999237.268921639,-3299500.936217489,4.66810065940098,1.7376614779060084,-0.6914729121697691,-5999002.122609298,-6998906.413846187,-3299503.2075967835,-275.5310230152926,1.3906021933254034,0.04451948221199735,-5486373.81107355,-6501063.13968392,-2806180.2828701464,-10547.633853698228,233.9309234418437,-495.0032075599066,-5664399.146654108,-6678813.599503309,-2982672.485245723,-9381.135602766088,-253.3419964978164,675.8737261038341,-5700210.82464201,-6694361.799406611,-2992886.6299477653,2490.387682674892,28.146040551194208,-229.36217877677225
25.0,-4673467.623108013,-6595304.508285522,-3165630.3297317396,-550834.9144854891,-16.53646355941703,-329.99281345314876,-6117629.14951027,-7105775.453830633,-3354348.239327429,53934.52401734428,-88.37695282830515,133.06061595814208,-6116686.82215162,-7105227.886398394,-3354641.344640875,52628.76801683762,-21.3064771659746,31.396748220006394,-5500248.162910224,-6499881.548936213,-2799964.819451112,198.14483444057183,8.927859460395561,3.373339940136971,-6228171.624653786,-7098926.706400804,-3368707.097942236,71816.10281325146,32.54533169783946,-45.89955094917265,-6216548.6548114475,-7099362.34781323,-3363239.878745418,74405.66494601552,46.19965983205629,-8.691101794566553,-5995761.422978394,-6997659.119545203,-3298419.9584187376,-109.12563327460994,9.598854762297703,-6.3970781643196615,-5996739.299310026,-6996623.379893757,-3298397.485421,-986.1442058727682,9.673027064418134,-2.74715069996164,-5493385.237218855,-6500884.1524193315,-2802747.960396637,-4590.208031034204,169.82942383883602,-358.5810871863346,-5673295.188371179,-6676888.137982134,-2976492.5942603457,-2160.002454084605,-542.0028814459336,900.6338737663455,-5696975.338963348,-6693890.031430578,-2992074.404464194,1520.306948811873,422.97973754988,-974.264702105948
40.0,-4569089.261845349,-6611398.691381688,-3210059.065141238,-622054.3913104602,-92.24309226057161,-175.77411501393868,-6080175.294241098,-7071526.242751024,-3345378.212937151,28584.766126187336,-43.17478746026569,56.85523980685949,-6079814.732453746,-7071255.820399712,-3345371.9160382166,27999.188502895922,-7.034626776670932,11.594078603822187,-5132180.925267063,-6545813.402236958,-2961183.606450306,-246574.40041919614,-39.685750869133344,83.76575081403631,-6136495.456614567,-7067099.905614769,-3354777.382090482,39029.662387506585,1.1880542827551266,-9.207444041835396,-6131270.126892123,-7067394.003062979,-3352166.877914043,40277.740329827466,26.942063611815296,3.8406176876672573,-6042896.832230043,-7013898.599388768,-3317700.4730751645,3147.852601472104,43.385560986157714,-61.47769481487908,-6029110.204789481,-7027933.250824767,-3317746.5598649867,14941.706567038982,-29.93941395506951,194.48667370793416,-5168441.365144599,-6541463.151801334,-2945005.1232396304,-222691.1565877623,54.3494759465486,-90.20259978237402,-5475065.310476727,-6710718.9398861015,-3074922.07556696,-140918.245711062,2937.2421208589644,-6381.3107860891105,-5505584.81718219,-6727884.585763066,-3088120.5321380254,-132631.52169607248,-3236.0092133222806,7061.094163078833
50.0,-4554541.648749106,-6613612.386028601,-3216216.5729921428,-631965.7074130039,-82.84204965577601,-177.54022563267023,-6071761.671381444,-7064533.587859679,-3341125.986712971,25473.291583413713,-38.89372424361062,50.5680593479683,-6071470.142325254,-7064286.12388558,-3341114.648385964,24958.907642103095,-6.151396855534763,10.280378582547945,-5018502.471433907,-6560111.933840941,-3010857.6472657486,-322775.98032912274,-18.042938757775833,58.42915192147236,-6122742.67026891,-7060526.162192251,-3349752.342773673,34986.99109853121,0.5151698258702965,-7.686105603644177,-6118052.489461357,-7060816.16172978,-3347442.860703944,36078.17729382503,24.27736182351959,3.8462244729087454,-6039522.854445086,-7018716.980965373,-3319384.0825183415,4082.186714728237,21.232397907495805,-41.1925661366156,-6031461.2372059515,-7026993.770688446,-3319409.8202362885,11028.138721803403,-24.544275285944416,122.40459328783334,-5045966.377784085,-6556775.267717173,-2998684.8374462957,-304653.17328837095,60.98904627116519,-115.17437543391432,-5397287.367000779,-6721174.232932509,-3110487.420207546,-193235.35080388197,1908.597811627815,-4142.022001151133,-5427828.6386901215,-6738545.446473427,-3124080.8051676597,-185308.87209851565,-2007.3429124405977,4327.080335978306
60.0,-4546136.669515418,-6614886.098785399,-3219772.1575271934,-637692.207600991,-77.58157444122978,-176.46348090250154,-6066717.443906859,-7060318.811304193,-3338430.6480024485,23722.99526992887,-36.548226998963315,47.21940344897819,-6066459.813259769,-7060085.948091499,-3338415.5632393886,23246.430574330076,-5.69669322230984,9.589727535925826,-4963883.419650301,-6566956.375529596,-3034733.9253309486,-359387.7245285851,-13.806989691032001,42.576103563043,-6114744.7308467375,-7056547.334834477,-3346613.650412591,32713.421655130747,0.21233807470188992,-6.918781770285276,-6110342.370438477,-7056835.718738792,-3344465.6134410794,33724.19383154592,22.820198283774843,3.79910450440497,-6036269.229728472,-7018690.540287923,-3318655.1713234517,3869.779086357017,17.555799212097277,-36.22065487745066,-6029895.070222511,-7025254.602559139,-3318667.5159056517,9385.196391875637,-20.031016899856454,104.36086578123916,-4986334.857564762,-6564254.163190942,-3024778.2128537176,-344521.3302997129,60.497672399979,-121.68570651619234,-5357573.781718102,-6725536.239245437,-3127270.4777594884,-219373.7592191474,1478.3970623848943,-3188.5753572012504,-5389625.672962547,-6742661.191192536,-3140263.696040624,-210480.5494009524,-1507.1176750858979,3206.3155062952073
75.0,-4537885.096527016,-6616137.877431145,-3223259.7318608062,-643318.0973974969,-73.08476918917646,-172.66244295430437,-6061786.10080863,-7056141.432487935,-3335719.37157268,22043.66108232455,-34.26821689338438,44.02939086407356,-6061558.79769118,-7055921.656647561,-3335704.508242273,21600.96907571943,-5.269284752743275,8.928460886976634,-4915592.244726174,-6572996.809104584,-3055847.4785301946,-391762.24904410494,-10.335708166231958,31.153068771377335,-6106919.11115467,-7052600.986263404,-3343460.407720719,30517.672541681102,-0.05201230757332098,-6.205951923310947,-6102796.759897226,-7052884.818913953,-3341464.7344551673,31452.50136717507,21.414965018345015,3.7255352793626573,-6033049.208961338,-7017902.642139591,-3317524.061595076,3580.1964435788454,14.976744940326382,-31.649349356253367,-6027810.674164221,-7023301.400265258,-3317534.554730475,8118.783836436708,-16.68700205347475,88.96524756998782,-4934991.233707556,-6570678.437814033,-3047233.1236486235,-378886.7107293855,73.76940847263737,-147.99357133090922,-5323013.242297391,-6729151.991629642,-3141555.9623775044,-242080.752213849,1219.105706916327,-2613.8666336223623,-5357436.763720409,-6745905.8443518765,-3153461.174376713,-231578.49063049315,-1223.6186665073787,2608.4074723006206
90.0,-4532355.147755228,-6616978.08076099,-3225594.6233847393,-647091.2915762664,-70.15120268033272,-169.16528089522666,-6058497.834779177,-7053319.9948851485,-3333862.280245756,20939.96513525195,-32.747539066954744,41.930631093744154,-6058291.520088096,-7053108.890812512,-3333848.6348087327,20519.151226810543,-4.992271673363113,8.493410820052386,-4885575.225201602,-6576747.188908506,-3068971.6353977094,-411888.501188057,-8.483404356754654,25.63239955763868,-6101690.05374,-7049934.433189049,-3341302.2235661657,29065.498482485185,-0.20922088186787846,-5.751205186483476,-6097754.317942396,-7050213.34503978,-3339405.6631611427,29951.45227200067,20.48104170766654,3.6618124183983047,-6030937.549169961,-7017129.761749215,-3316624.7555820327,3378.91832118289,13.55138810882971,-28.846044439779075,-6026284.997032283,-7021925.992125653,-3316633.4896919127,7411.219587211495,-14.99015874377545,80.00708234477284,-4903086.57041396,-6574657.769611375,-3061191.2035434265,-400263.7073665453,77.01015406050031,-156.07739244269712,-5301467.604115609,-6731342.731136575,-3150385.249463331,-256222.89038122023,1074.1921174771346,-2306.2345649981467,-5337537.574758562,-6747835.59793774,-3161514.691094652,-244593.77355150107,-1070.9853478161351,2283.019867318778
99.5,-4529672.929282251,-6617386.1808959795,-3226726.3017483596,-648922.258996747,-68.7065362301808,-167.2791252058385,-6056910.325465329,-7051945.603041838,-3332950.367325958,20411.202946163547,-32.01040143821899,40.91926884960914,-6056714.601032068,-7051738.980248992,-3332937.525225983,20000.80665311997,-4.8603002648351445,8.284452522672563,-4871549.429664686,-6578498.782255177,-3075103.870470868,-421293.2373529105,-7.713298821268278,23.408378239780436,-6099159.427286803,-7048635.339593242,-3340242.515643522,28366.731761805655,-0.279738764214963,-5.536721562410213,-6095313.813534783,-7048911.589456145,-3338393.4712717,29229.54193753148,20.029123547974564,3.6268038166782612,-6029933.946022571,-7016710.160630628,-3316159.5468648416,3284.2670600434667,12.935034434261231,-27.590793461914274,-6025531.148773912,-7021249.519594697,-3316167.75158584,7100.311016629851,-14.285977283149387,76.04969165201369,-4888275.977932608,-6576503.779068029,-3067670.601267077,-410189.82406623306,77.67758584172333,-158.04235043147634,-5291369.010214225,-6732355.628807591,-3154503.3695720593,-262846.6084067561,1012.251436500218,-2175.3014041830597,-5328390.061099547,-6748703.34068839,-3165186.20639907,-250566.78595317496,-1007.0338218023231,2147.3346263851618
