Time,pt0_ux,pt0_uy,pt0_uz,pt1_ux,pt1_uy,pt1_uz,pt2_ux,pt2_uy,pt2_uz,pt3_ux,pt3_uy,pt3_uz,pt4_ux,pt4_uy,pt4_uz,pt5_ux,pt5_uy,pt5_uz,pt6_ux,pt6_uy,pt6_uz,pt7_ux,pt7_uy,pt7_uz,pt8_ux,pt8_uy,pt8_uz,pt9_ux,pt9_uy,pt9_uz
23.25,-1.5016783765941396e-05,7.631385414313235e-06,-8.886856723339091e-12,1.501746403775352e-05,-7.630954308057317e-06,-8.886099393709022e-12,-1.9527071380404108e-05,9.105579319569917e-06,8.601543329741578e-12,1.9529395498403628e-05,-9.106567417058515e-06,8.599963566613922e-12,3.5764384537072244e-08,7.950093252973992e-08,1.6467942198136085e-13,3.80973982922946e-08,7.83969706841647e-08,1.6471170490005794e-13,5.591256894997379e-09,-2.59685538450016e-09,8.486747327392822e-08,-5.597182616110364e-09,2.6143933131772447e-09,8.489517104360693e-08,-8.143099042205967e-09,2.3018951285871813e-08,-1.1465429050487909e-14,8.141843362693358e-09,-2.305105985050802e-08,-1.1490893860996568e-14
23.5,-2.0192393632621086e-05,1.0161774164768163e-05,-1.1048888456830427e-11,2.0193412131755228e-05,-1.016108159148313e-05,-1.104677111778218e-11,-2.5247736780045944e-05,1.1773233823614446e-05,1.0628758291737883e-11,2.525077087923921e-05,-1.1774556578510081e-05,1.0628152640624106e-11,4.812835549109789e-08,1.0698715454210959e-07,2.2167474620362476e-13,5.1269567415845134e-08,1.055013329024527e-07,2.217215204025282e-13,7.729888398856184e-09,-3.5906292056996824e-09,1.1417090554165561e-07,-7.737982503858729e-09,3.614561869256228e-09,1.142087667165592e-07,-1.0956291610518201e-08,3.09695255642242e-08,-1.5425834401600172e-14,1.0954614907744554e-08,-3.101274948178549e-08,-1.5460111350319983e-14
25.0,-2.1764993928229095e-05,1.0831932635620596e-05,-1.0788723337996627e-11,2.1766194102823225e-05,-1.0831062288849612e-05,-1.0785079519081653e-11,-2.602979607084853e-05,1.213801129284503e-05,1.035696270112872e-11,2.6032960316987065e-05,-1.2139429236090187e-05,1.0358089364871004e-11,5.20650432776512e-08,1.1574561170684244e-07,2.399090587739399e-13,5.5468286171981374e-08,1.1413547817311408e-07,2.3995536641119935e-13,8.319124308390434e-09,-3.864371504974468e-09,1.234339994401611e-07,-8.327990455808166e-09,3.890173247467802e-09,1.2347507730647007e-07,-1.1848745114523846e-08,3.3488838336707956e-08,-1.6681420915725252e-14,1.1846942414777487e-08,-3.3535603557980935e-08,-1.671850456463947e-14
40.0,-2.1885257407766056e-05,1.0858918453552417e-05,-1.038673141766773e-11,2.1886365902060706e-05,-1.085806640892339e-05,-1.0382450259221445e-11,-2.607386750759303e-05,1.2158548713068e-05,1.0348933537017239e-11,2.607704245108986e-05,-1.2159966308397848e-05,1.035007220885174e-11,5.313436078079332e-08,1.1811832660522666e-07,2.44972518153081e-13,5.660176488310298e-08,1.1647359309736343e-07,2.449919690975869e-13,6.910819283845975e-09,-3.207234423268308e-09,1.2576326735131743e-07,-6.919621167226017e-09,3.2310437520639054e-09,1.2580203436612554e-07,-1.2081801776178863e-08,3.414070641063632e-08,-1.7007905824605695e-14,1.2079942862167781e-08,-3.418836339802718e-08,-1.7045707557945784e-14
50.0,-2.1949416454050037e-05,1.0872510913108787e-05,-1.0167136841420543e-11,2.1950478995228103e-05,-1.0871670918222998e-05,-1.0162520466447787e-11,-2.609698740876972e-05,1.2169323902821134e-05,1.0344284434968726e-11,2.610016760207293e-05,-1.2170741863192888e-05,1.0345422349948564e-11,5.3756161717768814e-08,1.1947629236018237e-07,2.479096395310668e-13,5.724443491211886e-08,1.1782024523770405e-07,2.4792359608771215e-13,6.023198571202073e-09,-2.793023281795397e-09,1.2709793733522613e-07,-6.031897881848257e-09,2.8156234743669435e-09,1.2713521714789253e-07,-1.2215482222284823e-08,3.451449181844541e-08,-1.7195129182107245e-14,1.221359541526248e-08,-3.4562668299142176e-08,-1.7233347706618814e-14
60.0,-2.2007004408090024e-05,1.0884768819547277e-05,-9.973570541928436e-12,2.2008029332491385e-05,-1.0883940262261084e-05,-9.968668373197779e-12,-2.6117885008957287e-05,1.2179064177673792e-05,1.0339223446851428e-11,2.6121069651353403e-05,-1.2180482941571869e-05,1.0340358529028915e-11,5.433077877503902e-08,1.2072137528826323e-07,2.506159788739596e-13,5.7830906260337595e-08,1.1905885040526849e-07,2.506285348469588e-13,5.174992307958089e-09,-2.3971841849642725e-09,1.2832426023815736e-07,-5.1835623499070065e-09,2.4186507429613204e-09,1.2836009851903734e-07,-1.2338246430086566e-08,3.485772596866025e-08,-1.736703168785828e-14,1.2336336698045497e-08,-3.490638409530431e-08,-1.740563564345298e-14
75.0,-2.208221202546329e-05,1.0900950087155402e-05,-9.725249258521515e-12,2.208319316081228e-05,-1.0900137285496003e-05,-9.720000744970976e-12,-2.6145514491975124e-05,1.2191943023451608e-05,1.0330533105579248e-11,2.6148704540089963e-05,-1.2193363591679654e-05,1.0331660719270483e-11,5.5110660769518964e-08,1.2239927629576872e-07,2.5427207136338195e-13,5.861781044315594e-08,1.2073270880181356e-07,2.542855185258963e-13,3.987642905638293e-09,-1.8430342182699598e-09,1.2998200985347843e-07,-3.995981842591458e-09,1.86293983497483e-09,1.3001578096168326e-07,-1.2503955668055173e-08,3.532099260282459e-08,-1.759899556618219e-14,1.2502019131331121e-08,-3.5370307680814094e-08,-1.7638123628892136e-14
90.0,-2.2148770227515254e-05,1.091545555757701e-05,-9.508204023223007e-12,2.2149716242110236e-05,-1.0914657180930622e-05,-9.5026711448987e-12,-2.6170294252373903e-05,1.2203494018746943e-05,1.0320807193160252e-11,2.617348878563998e-05,-1.2204916741733067e-05,1.0321925178587932e-11,5.582583372539406e-08,1.2393099421461526e-07,2.5760916730263716e-13,5.933410109287928e-08,1.2226339074863294e-07,2.576238368973717e-13,2.8816628081005014e-09,-1.3268226759731267e-09,1.3149993858038538e-07,-2.8897472070767595e-09,1.3452864210272648e-09,1.315317310767239e-07,-1.2655406834530124e-08,3.574437433939279e-08,-1.781093046809302e-14,1.2653448687471036e-08,-3.579429452396837e-08,-1.7850540073145157e-14
99.5,-2.218796452166268e-05,1.092407392492561e-05,-9.381212200129941e-12,2.2188891016968227e-05,-1.092328417679699e-05,-9.375519972873426e-12,-2.618501675526838e-05,1.2210357000294071e-05,1.0314266281873772e-11,2.6188213827113206e-05,-1.2211781181763645e-05,1.0315377514495817e-11,5.6256398723384115e-08,1.248510758004975e-07,2.596122344083025e-13,5.976373988099498e-08,1.231836179391258e-07,2.5962748704496084e-13,2.2129558371105657e-09,-1.0146915382134894e-09,1.3241351316141324e-07,-2.2208722103835737e-09,1.0322857030947244e-09,1.3244408655625e-07,-1.2746439864183053e-08,3.5998849231437226e-08,-1.7938290959374833e-14,1.2744469654613363e-08,-3.6049134624134563e-08,-1.7978190786775265e-14
99.75,-2.7699688785816893e-05,1.3738919478586758e-05,-1.279340720033233e-11,2.7700864263721932e-05,-1.3737980783834137e-05,-1.278761451578705e-11,-3.349572957006568e-05,1.5619367300670975e-05,1.3618598514663467e-11,3.3499791623477354e-05,-1.562115462204561e-05,1.3618865646811712e-11,6.930358613513867e-08,1.5385194389844433e-07,3.1966959091526906e-13,7.36608855950855e-08,1.5178275128757602e-07,3.196998884593419e-13,4.3807384299238276e-09,-2.0217494083912773e-09,1.6339480203545702e-07,-4.390819647938843e-09,2.045947501308402e-09,1.6343571069414428e-07,-1.5718125105485138e-08,4.440007976483695e-08,-2.2122639729516754e-14,1.571569811273461e-08,-4.44620843800428e-08,-2.2171833005206138e-14
